Broj Fakture;Datum PDV;Iznos/Osnovica;Penal;PDV;Iznos sa penalom i PDV;PG Iznos/Osnovica;PG PDV;PG Penal;PG Iznos sa PDVom;Vrsta Naloga
GS-2604/2026;27.02.2026;95565.00;0.00;19113.00;114678.00;64506.38;12901.28;0.00;77407.65;TEKUCE
GS-2634/2026;27.02.2026;170272.60;0.00;34054.52;204327.12;114934.01;22986.80;0.00;137920.81;TEKUCE
GS-2563/2026;27.02.2026;181000.60;0.00;36200.12;217200.72;122175.41;24435.08;0.00;146610.49;TEKUCE
GS-2628/2026;27.02.2026;85289.70;0.00;17057.94;102347.64;57570.55;11514.11;0.00;69084.66;NEODLOZNO
GS-2550/2026;27.02.2026;55372.40;0.00;11074.48;66446.88;37376.37;7475.27;0.00;44851.64;NEODLOZNO
GS-2484/2026;27.02.2026;14171.40;0.00;2834.28;17005.68;9565.69;1913.14;0.00;11478.83;NEODLOZNO
GS-2600/2026;27.02.2026;55870.20;0.00;11174.04;67044.24;37712.39;7542.48;0.00;45254.86;NEODLOZNO
GS-2462/2026;27.02.2026;2300.00;0.00;460.00;2760.00;1552.50;310.50;0.00;1863.00;NEODLOZNO
GS-2464/2026;27.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-2495/2026;27.02.2026;8895.60;0.00;1779.12;10674.72;6004.53;1200.91;0.00;7205.44;NEODLOZNO
GS-2575/2026;27.02.2026;41430.60;0.00;8286.12;49716.72;27965.66;5593.13;0.00;33558.79;NEODLOZNO
GS-2608/2026;27.02.2026;4830.00;0.00;966.00;5796.00;3260.25;652.05;0.00;3912.30;NEODLOZNO
GS-2594/2026;27.02.2026;57900.20;0.00;11580.04;69480.24;39082.64;7816.53;0.00;46899.16;NEODLOZNO
GS-2627/2026;27.02.2026;59590.20;0.00;11918.04;71508.24;40223.39;8044.68;0.00;48268.06;NEODLOZNO
GS-2466/2026;27.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-2619/2026;27.02.2026;52629.90;0.00;10525.98;63155.88;35525.18;7105.04;0.00;42630.22;NEODLOZNO
GS-2632/2026;27.02.2026;42176.40;0.00;8435.28;50611.68;28469.07;5693.81;0.00;34162.88;NEODLOZNO
GS-2460/2026;27.02.2026;8300.00;0.00;1660.00;9960.00;5602.50;1120.50;0.00;6723.00;NEODLOZNO
GS-2461/2026;27.02.2026;16905.20;0.00;3381.04;20286.24;11411.01;2282.20;0.00;13693.21;NEODLOZNO
GS-2459/2026;27.02.2026;2300.00;0.00;460.00;2760.00;1552.50;310.50;0.00;1863.00;NEODLOZNO
GS-2467/2026;27.02.2026;50066.00;0.00;10013.20;60079.20;33794.55;6758.91;0.00;40553.46;NEODLOZNO
GS-2498/2026;27.02.2026;14220.00;0.00;2844.00;17064.00;9598.50;1919.70;0.00;11518.20;NEODLOZNO
GS-2598/2026;27.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-2463/2026;27.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-2561/2026;27.02.2026;53610.40;0.00;10722.08;64332.48;36187.02;7237.40;0.00;43424.42;NEODLOZNO
GS-2630/2026;27.02.2026;39772.70;0.00;7954.54;47727.24;26846.57;5369.31;0.00;32215.89;NEODLOZNO
GS-2458/2026;27.02.2026;11300.00;0.00;2260.00;13560.00;7627.50;1525.50;0.00;9153.00;NEODLOZNO
GS-2577/2026;27.02.2026;39612.20;0.00;7922.44;47534.64;26738.24;5347.65;0.00;32085.88;NEODLOZNO
GS-2606/2026;27.02.2026;42173.00;0.00;8434.60;50607.60;28466.78;5693.36;0.00;34160.13;NEODLOZNO
GS-2595/2026;27.02.2026;56300.00;0.00;11260.00;67560.00;38002.50;7600.50;0.00;45603.00;NEODLOZNO
GS-2579/2026;27.02.2026;46263.20;0.00;9252.64;55515.84;31227.66;6245.53;0.00;37473.19;NEODLOZNO
GS-2485/2026;27.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-2603/2026;27.02.2026;51000.00;0.00;10200.00;61200.00;34425.00;6885.00;0.00;41310.00;NEODLOZNO
GS-2597/2026;27.02.2026;11300.00;0.00;2260.00;13560.00;7627.50;1525.50;0.00;9153.00;NEODLOZNO
GS-2487/2026;27.02.2026;17500.00;0.00;3500.00;21000.00;11812.50;2362.50;0.00;14175.00;NEODLOZNO
GS-2560/2026;27.02.2026;17842.40;0.00;3568.48;21410.88;12043.62;2408.72;0.00;14452.34;NEODLOZNO
GS-2556/2026;27.02.2026;6900.00;0.00;1380.00;8280.00;4657.50;931.50;0.00;5589.00;NEODLOZNO
GS-2555/2026;27.02.2026;10684.80;0.00;2136.96;12821.76;7212.24;1442.45;0.00;8654.69;NEODLOZNO
GS-2465/2026;27.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-2602/2026;27.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-2557/2026;27.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-2497/2026;27.02.2026;21500.00;0.00;4300.00;25800.00;14512.50;2902.50;0.00;17415.00;NEODLOZNO
GS-2559/2026;27.02.2026;11600.00;0.00;2320.00;13920.00;7830.00;1566.00;0.00;9396.00;NEODLOZNO
GS-2486/2026;27.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-2599/2026;27.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-2578/2026;27.02.2026;35500.00;0.00;7100.00;42600.00;23962.50;4792.50;0.00;28755.00;NEODLOZNO
GS-2631/2026;27.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-2633/2026;27.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-2496/2026;27.02.2026;12440.00;0.00;2488.00;14928.00;8397.00;1679.40;0.00;10076.40;NEODLOZNO
GS-2629/2026;27.02.2026;13300.00;0.00;2660.00;15960.00;8977.50;1795.50;0.00;10773.00;NEODLOZNO
GS-2596/2026;27.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-2468/2026;27.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-2552/2026;27.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-2580/2026;27.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
