PE tuljak fi 090,kom
PE tuljak fi 110 SDR 17,kom
PE tuljak fi 160 SDR 17,kom
Celicna prirubnica za tuljak DN 080/090 PN 10/16,kom
Celicna prirubnica za tuljak DN 100/110 PN 10/16,kom
Celicna prirubnica za tuljak DN 150/160 PN 10/16,kom
Dihtung guma DN 080,kom
Dihtung guma DN 100,kom
Dihtung guma DN 150,kom
FF komad DN 080/300 PN 10/16,kom
FF komad DN 100/1000 PN 10/16,kom
N-komad DN 080 PN 10/16,kom
T komad DN 100/080 PN 10/16,kom
T komad DN 100/100 PN 10/16,kom
T komad DN 150/100 PN 10/16,kom
"Kljuc za sigurnosni ventil 1/2"" - 1""",kom
"Magnetni ventil 3/4""",kom
Matica M 16 ZN,kom
Matica M 20 ZN,kom
Nadzemni hidrant DN 080 Klasik Inox H=1830mm 1Bx2C RD1000,kom
Pljosnati zasun DN 080 AVK,kom
Pljosnati zasun DN 100 AVK,kom
Pljosnati zasun DN 150 AVK,kom
Tocak za E-zasun DN 080-100 (200mm),kom
Tocak za E-zasun DN 125-150 (250mm),kom
"Ugradbena garnitura DN 065-080 (0,6-1,1m)",kom
"Ugradbena garnitura DN 100-150 (0,6-1,1m)",kom
Ulicna kapa 7kg Lg,kom
Vazdusni ventil sa 2 kugle DN 080 PN 10/16,kom
Vijak JUS 053 M 16/70 ZN,kom
Vijak JUS 053 M 16/90 Zn,kom
Vijak JUS 053 M 20/120 ZN,kom
Vijak JUS 053 M 20/80 ZN,kom
Zablji poklopac DN 080,kom
"Elektromagnetni merac protoka 5W4C65-AAELHP2AUD3K0A+CBL1 Promag W 400, 5W4C65, DN65",kom
"Elektromagnetni merac protoka 5W4C1ZAAELHP2AUD3K0A+CBL1 Promag W 400,5W4C1Z, DN125",kom
"Elektromagnetni merac protoka 5W4C1FAAELHP2AUD3K0A+ CBL1 Promag W 400, 5W4C1F, DN150 6""",kom
"Elektromagnetni merac protoka 5W4C2HAAELHP2AUD2K0A+ CBL1 Promag W 400, 5W4C2H, DN200 8""",kom
"Elektromagnetni merac protoka 5W4C3HAAELHP2AUD2K0A+ CBL1 Promag W 400, 5W4C3H, DN300 12""",kom
Transmiter pritiska PMC21-AA1B1PBWBJJ Cerabar PMC21,kom
PEHD cev fi 075 PN 10,m
PEHD cev fi 125 PN 10,m
PEHD cev fi 160 PN 10,m
PEHD cev fi 200 PN 10,m
PEHD cev fi 315 PN 10,m
Pljosnati zasun Armex DN 065 PN 10/16,kom
Tocak za E-zasun DN 050-065 (160mm),kom
Pljosnati zasun Armex DN 125 PN 10/16,kom
Tocak za E-zasun DN 125-150 (250mm),kom
Pljosnati zasun Armex DN 150 PN 10/16,kom
Tocak za E-zasun DN 125-150 (250mm),kom
Pljosnati zasun Armex DN 200 PN 10,kom
Tocak za E-zasun DN 200 (280mm),kom
Pljosnati zasun Armex DN 300 PN 10,kom
Tocak za E-zasun DN 250-300,kom
Univerzalna Poluspojnica E DN 080 (88-108) PN 10/16,kom
Univerzalna Poluspojnica E DN 175(190-222) PN 10,kom
Univerzalna Poluspojnica E DN 200 (217-250) PN 10,kom
Univerzalna Poluspojnica E DN 250 (272-305) PN10,kom
Univerzalna Poluspojnica E DN 400 (434-488) PN10,kom
Ugradbena garnitura,kom
Ulicna kapa 7kg Lg,kom
T komad DN 065/065 PN 10/16,kom
T komad DN 125/125 PN 10/16,kom
T komad DN 150/150 PN 10/16,kom
T komad DN 200/200 PN 10,kom
T komad DN 300/300 PN 10,kom
T komad DN 065/050 PN 10/16,kom
T komad DN 125/050 PN 10/16,kom
T komad DN 150/050 PN 10/16,kom
T komad DN 200/050 PN 10,kom
FFR komad DN 080/065 PN 10/16,kom
FFR komad DN 100/065 PN 10/16,kom
FFR komad DN 200/125 PN 10,kom
FFR komad DN 200/150 PN 10,kom
FFR komad DN 250/150 PN 10,kom
FFR komad DN 350/200 PN 10,kom
FFR komad DN 400/300 PN 10,kom
FFR komad DN 400/350 PN 10,kom
FFR komad DN 600/400 PN 10,kom
FF komad DN 065/200 PN 10/16,kom
FF komad DN 065/300 PN 10/16,kom
FF komad DN 065/400 PN 10/16,kom
FF komad DN 125/400 PN 10/16,kom
FF komad DN 150/400 PN 10/16,kom
FF komad DN 200/400 PN 10,kom
FF komad DN 065/500 PN 10/16,kom
FF komad DN 150/500 PN 10/16,kom
FF komad DN 065/600 PN 10/16,kom
FF komad DN 200/600 PN 10,kom
FF komad DN 300/600 PN 10,kom
FF komad DN 125/700 PN 10/16,kom
"FF komad, L750, DN150- celicni radionicki komad",kom
FF komad DN 200/1000 PN 10,kom
FF komad DN 300/1000 PN 10,kom
"FF komad, L1500, DN300- celicni radionicki komad",kom
"X komad DN 050/2"" PN 10/16",kom
PE koleno fi 075/90 SDR 11,kom
PE koleno fi 140/90 SDR 17,kom
PE koleno fi 160/90 SDR 17,kom
PE koleno fi 200/90 SDR 17,kom
PE koleno fi 315/90 SDR 17,kom
Celicna prirubnica za tuljak DN 065/075 PN 10/16,kom
PE tuljak fi 075 SDR 11,kom
PE tuljak fi 110 SDR 17,kom
Celicna prirubnica za tuljak DN 100/110 PN 10/16,kom
PE tuljak fi 140 SDR 17,kom
Celicna prirubnica za tuljak DN 125/140 PN 10/16,kom
PE tuljak fi 160 SDR 17,kom
Celicna prirubnica za tuljak DN 150/160 PN 10/16,kom
PE tuljak fi 225 SDR 17,kom
Celicna prirubnica za tuljak DN 200/225 PN 10,kom
PE tuljak fi 315 SDR 17,kom
Celicna prirubnica za tuljak DN 300/315 PN 10,kom
Celicna flansa DN 600,kom
"Pocinkovana dupla nipla 1""",kom
"Pocinkovana dupla nipla 1""",kom
"Siber ventil 1""",kom
Penjalica 140x230,kom
Saht poklopac Normal fi 600 D 400 PUR,kom
Sheet Vodovodna mreza,kom
Penjalica 140x230,kom
"Betonska cev 800mm, L=500",kom
"Betonska cev 800mm, L=1000",kom
Betonska redukcija 800/600mm,kom
EF TVS sedlo sa ventilom DN 160/32,kom
EF TVS sedlo sa ventilom DN 125/32,kom
EF TVS sedlo sa ventilom DN 110/32,kom
EF TVS sedlo sa ventilom DN 90/032,kom
"Ugradbena garnitura za sedlo sa ventilom 0,9-1,3mm",kom
Ulicna kapa 3kg Lg,kom
PEHD cev fi 032 PN 10,m
"MS poluspojka sa prstenom 5/4""",kom
"Kugla ventil 5/4"" UN",kom
Vazdusni ventil sa 2 kugle DN 080 PN 10/16,kom
T komad DN 100/080 PN 10/16,kom
PE tuljak fi 090 SDR 17,kom
Celicna prirubnica za tuljak DN 080/090 PN 10/16,kom
PE tuljak fi 110 SDR 17,kom
Celicna prirubnica za tuljak DN 100/110 PN 10/1,kom
Nozasti ventil DN 100 PN 10 AVK,kom
Nozasti zasun DN 125 PN 10 AVK,kom
FF komad DN 100/700 PN 10/16,kom
MDK DN 100 Armex PN 10/16,kom
Nadzemni hidrant DN 080 Klasik Inox; H=1830mm; 1Bx2C; RD1000,kom
Podzemni hidrant DN 080/750 Duktil,kom
PEHD cev fi 090 PN 10,m
PEHD cev fi 110 PN 10,m
PEHD cev fi 125 PN 10,m
PEHD cev fi 160 PN 10,m
Pljosnati zasun Armex DN 080 PN 10/16,kom
"Ugradbena garnitura DN 065-080 (0,9-1,5m)",kom
N-komad DN 080 8 PN 10/16,kom
FF komad DN 080/300 PN 10/16,kom
Zablji poklopac DN 080,kom
EF Koleno fi 090/30° SDR 11,kom
EF Koleno fi 110/30° SDR 11,kom
EF Koleno fi 125/30° SDR 11,kom
EF Koleno fi 090/45° SDR 11,kom
EF Koleno fi 110/45° SDR 11,kom
EF Koleno fi 090/90° SDR 11,kom
EF Koleno fi 110/90° SDR 11,kom
EF Koleno fi 125/90° SDR 11,kom
EF Redukcija fi 110/090 SDR 11,kom
EF Redukcija fi 160/090 SDR 11,kom
EF T komad fi 110 SDR 11,kom
EF T komad 125/110 SDR 11,kom
EF T komad 160/110 SDR 11,kom
EF spojnica fi 090 SDR 11,kom
EF spojnica fi 110 SDR 11,kom
EF spojnica fi 125 SDR 11,kom
EF spojnica fi 160 SDR 11,kom
PE kugla ventil d90 (OD90),kom
PE kugla ventil d110 (OD110),kom
PE kugla ventil d125 (od125),kom
PE kugla ventil d160 (od160),kom
"Ugradbena garnitura za PE sekventni ventil 0,9-1,3m",kom
Ulicna kapa 7kg Lg,kom
Tinja,m3
Pesak frakcije 0-4mm,m3
Sljunak,m3
Kamen 0-31.5,t
Kamen 0-63,t
Beton C25/30,m3
Beton C12/15,m3
Beton 20,m3
