Broj naloga;Mesec;Radna Jedinica;Tip;Iznos
1741461;Februar 2024;RAKOVICA;LOKALNO;6900.00
1741466;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1741464;Februar 2024;NOVI BEOGRAD;ZAMENA;7803.60
1741469;Februar 2024;PALILULA;WOMA;5000.00
1741465;Februar 2024;VRAČAR;LOKALNO;6900.00
1741470;Februar 2024;RAKOVICA;ZAMENA;22100.00
1741467;Februar 2024;SAVSKI VENAC;ZAMENA;16247.00
1741473;Februar 2024;PALILULA;LOKALNO;6900.00
1741474;Februar 2024;PALILULA;LOKALNO;6900.00
1741476;Februar 2024;ZEMUN;LOKALNO;6900.00
1741477;Februar 2024;RAKOVICA;ZAMENA;6294.00
1741478;Februar 2024;RAKOVICA;ZAMENA;42552.00
1741479;Februar 2024;VOŽDOVAC;ZAMENA;64776.00
1741480;Februar 2024;RAKOVICA;ZAMENA;18860.00
1741481;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1741494;Februar 2024;ZEMUN;ZAMENA;10755.00
1741496;Februar 2024;ZEMUN;LOKALNO;6900.00
1741497;Februar 2024;NOVI BEOGRAD;SAJLA;12440.00
1741498;Februar 2024;VOŽDOVAC;KOPANJE;100059.25
1741499;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741500;Februar 2024;NOVI BEOGRAD;ZAMENA;44221.00
1741501;Februar 2024;RAKOVICA;ZAMENA;21740.00
1741502;Februar 2024;PALILULA;ZAMENA;43638.00
1741506;Februar 2024;ZEMUN;KOPANJE;1435208.85
1741508;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1741510;Februar 2024;ZEMUN;ZAMENA;218931.00
1741512;Februar 2024;ČUKARICA;LOKALNO;6900.00
1741513;Februar 2024;VOŽDOVAC;ZAMENA;103463.00
1741514;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741515;Februar 2024;STARI GRAD;LOKALNO;6900.00
1741516;Februar 2024;VOŽDOVAC;ZAMENA;19076.80
1741518;Februar 2024;ZEMUN;LOKALNO;6900.00
1741520;Februar 2024;RAKOVICA;WOMA;65700.00
1741523;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1741524;Februar 2024;RAKOVICA;ZAMENA;29584.00
1741525;Februar 2024;PALILULA;LOKALNO;6900.00
1741526;Februar 2024;VOŽDOVAC;ZAMENA;11890.00
1741527;Februar 2024;PALILULA;ZAMENA;8965.20
1741528;Februar 2024;VOŽDOVAC;ZAMENA;23877.00
1741531;Februar 2024;VOŽDOVAC;ZAMENA;54600.00
1741533;Februar 2024;ZVEZDARA;LOKALNO;9200.00
1741534;Februar 2024;ČUKARICA;ZAMENA;18740.00
1741535;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1741536;Februar 2024;PALILULA;LOKALNO;2300.00
1741537;Februar 2024;PALILULA;SAJLA;14220.00
1741541;Februar 2024;STARI GRAD;ZAMENA;26791.00
1741542;Februar 2024;ČUKARICA;ZAMENA;4370.00
1741543;Februar 2024;RAKOVICA;ZAMENA;48340.00
1741544;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741545;Februar 2024;VOŽDOVAC;SAJLA;16220.00
1741546;Februar 2024;ZVEZDARA;SAJLA;9220.00
1741547;Februar 2024;RAKOVICA;ZAMENA;31839.60
1741548;Februar 2024;ZEMUN;LOKALNO;6900.00
1741549;Februar 2024;PALILULA;LOKALNO;6900.00
1741550;Februar 2024;VOŽDOVAC;ZAMENA;23181.00
1741551;Februar 2024;ZVEZDARA;ZAMENA;140016.00
1741552;Februar 2024;VOŽDOVAC;ZAMENA;16520.20
1741553;Februar 2024;VOŽDOVAC;ZAMENA;18459.20
1741554;Februar 2024;PALILULA;ZAMENA;41804.00
1741556;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1741557;Februar 2024;ZEMUN;LOKALNO;6900.00
1741558;Februar 2024;VOŽDOVAC;ZAMENA;15430.00
1741559;Februar 2024;ČUKARICA;LOKALNO;6900.00
1741561;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1741564;Februar 2024;ČUKARICA;WOMA;44000.00
1741565;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1741568;Februar 2024;NOVI BEOGRAD;LOKALNO;4600.00
1741570;Februar 2024;VOŽDOVAC;ZAMENA;30061.00
1741571;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741572;Februar 2024;PALILULA;KOPANJE;196578.00
1741574;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741576;Februar 2024;ČUKARICA;WOMA;38900.00
1741583;Februar 2024;ČUKARICA;WOMA;210197.80
1741586;Februar 2024;ZVEZDARA;SAJLA;9220.00
