Broj naloga;Mesec;Radna Jedinica;Tip;Iznos
1839538;undefined;NOVI BEOGRAD;SAJLA;12440.00
1839534;undefined;ČUKARICA;SAJLA;9220.00
1839537;undefined;RAKOVICA;LOKALNO;4600.00
1839539;undefined;PALILULA;ZAMENA;0
1839540;undefined;STARI GRAD;SAJLA;9220.00
1839535;undefined;PALILULA;LOKALNO;4600.00
1839575;undefined;VRAČAR;SAJLA;16440.00
1839621;undefined;VOŽDOVAC;LOKALNO;4600.00
1839639;undefined;ZEMUN;WOMA;61818.2
1839640;undefined;NOVI BEOGRAD;ZAMENA;2965.00
1839625;undefined;RAKOVICA;LOKALNO;4600.00
1839614;undefined;ČUKARICA;ZAMENA;21139.20
1839653;undefined;NOVI BEOGRAD;ZAMENA;9902.80
1839646;undefined;PALILULA;SAJLA;9220.00
1839650;undefined;ZVEZDARA;ZAMENA;17279.80
1839649;undefined;PALILULA;ZAMENA;66555.5
1839662;undefined;ČUKARICA;LOKALNO;4600.00
1839659;undefined;ČUKARICA;LOKALNO;4600.00
1839661;undefined;NOVI BEOGRAD;ZAMENA;15452.00
1839669;undefined;NOVI BEOGRAD;LOKALNO;4600.00
1839672;undefined;NOVI BEOGRAD;SAJLA;9220.00
1839668;undefined;ČUKARICA;SAJLA;9220.00
1839671;undefined;ČUKARICA;SAJLA;9220.00
1839663;undefined;RAKOVICA;ZAMENA;48322.20
1839670;undefined;RAKOVICA;WOMA;21500.00
1839674;undefined;RAKOVICA;WOMA;5000.00
1839690;undefined;ZEMUN;WOMA;25500.00
1839691;undefined;VRAČAR;ZAMENA;0
1839664;undefined;PALILULA;SAJLA;7300.00
1839657;undefined;SAVSKI VENAC;LOKALNO;4600.00
1839711;undefined;ČUKARICA;LOKALNO;4600
1839714;undefined;PALILULA;WOMA;5000.00
1839731;undefined;ČUKARICA;LOKALNO;4600
1839747;undefined;NOVI BEOGRAD;SAJLA;11520.00
1839744;undefined;NOVI BEOGRAD;WOMA;9726.00
1839735;undefined;VOŽDOVAC;ZAMENA;41158.20
1839698;undefined;SAVSKI VENAC;SAJLA;9220.00
1839721;undefined;STARI GRAD;LOKALNO;2300.00
1839718;undefined;STARI GRAD;ZAMENA;0
1839716;undefined;RAKOVICA;WOMA;29500.00
1839741;undefined;RAKOVICA;LOKALNO;2300.00
1839759;undefined;ČUKARICA;SAJLA;15300.00
1839764;undefined;ČUKARICA;SAJLA;9220.00
1839766;undefined;RAKOVICA;LOKALNO;4600.00
1839758;undefined;RAKOVICA;LOKALNO;4600.00
1839768;undefined;PALILULA;ZAMENA;0
1839762;undefined;PALILULA;ZAMENA;0
1839763;undefined;PALILULA;ZAMENA;0
1839774;undefined;VOŽDOVAC;ZAMENA;15343.3
1839773;undefined;VOŽDOVAC;LOKALNO;4600.00
1839767;undefined;PALILULA;ZAMENA;0
1839776;undefined;SAVSKI VENAC;ZAMENA;44225.2
1839765;undefined;ZVEZDARA;SAJLA;9220.00
1839775;undefined;NOVI BEOGRAD;LOKALNO;4600.00
1839772;undefined;ZVEZDARA;ZAMENA;0
1839771;undefined;STARI GRAD;WOMA;25500.00
1839770;undefined;PALILULA;ZAMENA;0
1839769;undefined;PALILULA;ZAMENA;5958.4
1839778;undefined;NOVI BEOGRAD;LOKALNO;4600.00
1839779;undefined;ČUKARICA;WOMA;30100
1839780;undefined;NOVI BEOGRAD;SAJLA;10600.00
1839781;undefined;ČUKARICA;ZAMENA;0
1839782;undefined;VRAČAR;LOKALNO;4600.00
1839784;undefined;NOVI BEOGRAD;ZAMENA;10410.60
1839785;undefined;ČUKARICA;WOMA;58739.60
1839787;undefined;NOVI BEOGRAD;WOMA;25500.00
1839788;undefined;ZEMUN;SAJLA;9220.00
1839789;undefined;PALILULA;WOMA;17500.00
1839793;undefined;NOVI BEOGRAD;WOMA;25500.00
1839792;undefined;NOVI BEOGRAD;ZAMENA;46176.2
1839791;undefined;ČUKARICA;ZAMENA;19938.80
1839796;undefined;ČUKARICA;SAJLA;9220.00
1839795;undefined;VRAČAR;ZAMENA;0
1839799;undefined;VRAČAR;ZAMENA;5138.00
1839803;undefined;RAKOVICA;ZAMENA;21266.60
1839801;undefined;VOŽDOVAC;WOMA;17500.00
1839802;undefined;PALILULA;SAJLA;9220.00
1839866;undefined;NOVI BEOGRAD;WOMA;25500.00
1839878;undefined;VOŽDOVAC;ZAMENA;7510.8
1839873;undefined;ZVEZDARA;ZAMENA;9327.80
1839868;undefined;VOŽDOVAC;WOMA;5000.00
1839869;undefined;ZVEZDARA;WOMA;34500.00
1839867;undefined;ZVEZDARA;SAJLA;11060.00
1839876;undefined;ČUKARICA;ZAMENA;64315.80
1839887;undefined;ZVEZDARA;WOMA;25500.00
1839882;undefined;ZVEZDARA;ZAMENA;32326.60
1839895;undefined;ZVEZDARA;LOKALNO;4600.00
1839892;undefined;RAKOVICA;LOKALNO;4600.00
1839880;undefined;RAKOVICA;WOMA;30100.00
1839872;undefined;RAKOVICA;SAJLA;8300.00
1839889;undefined;VOŽDOVAC;KOPANJE;24275.60
1839870;undefined;RAKOVICA;WOMA;27500.00
1839898;undefined;VOŽDOVAC;LOKALNO;4600.00
1839883;undefined;ZEMUN;SAJLA;9220.00
1839877;undefined;NOVI BEOGRAD;ZAMENA;20464.40
1839874;undefined;STARI GRAD;LOKALNO;4600
1839911;undefined;PALILULA;WOMA;30100.00
1839910;undefined;VOŽDOVAC;LOKALNO;4600.00
1839904;undefined;VOŽDOVAC;SAJLA;9220.00
1839906;undefined;PALILULA;SAJLA;9220.00
1839907;undefined;STARI GRAD;ZAMENA;0
1839901;undefined;STARI GRAD;LOKALNO;4600.00
1839908;undefined;NOVI BEOGRAD;SAJLA;9220.00
1839916;undefined;NOVI BEOGRAD;ZAMENA;23300.00
1839919;undefined;NOVI BEOGRAD;ZAMENA;0
1839920;undefined;VOŽDOVAC;ZAMENA;42316
1839917;undefined;VRAČAR;SAJLA;16812.00
1839915;undefined;VRAČAR;LOKALNO;4600.00
1839918;undefined;STARI GRAD;ZAMENA;43257.00
1839925;undefined;STARI GRAD;LOKALNO;4600.00
1839922;undefined;ZVEZDARA;ZAMENA;40928.9
1839914;undefined;ZVEZDARA;LOKALNO;4600.00
1839928;undefined;NOVI BEOGRAD;SAJLA;9220.00
1839926;undefined;STARI GRAD;ZAMENA;16558.8
1839938;undefined;ZEMUN;LOKALNO;4600.00
1839941;undefined;VOŽDOVAC;ZAMENA;33001.80
1839948;undefined;STARI GRAD;ZAMENA;0
1839956;undefined;ZVEZDARA;LOKALNO;4600.00
1839976;undefined;PALILULA;SAJLA;9300
1839982;undefined;NOVI BEOGRAD;ZAMENA;11300.00
1839971;undefined;NOVI BEOGRAD;SAJLA;11520.00
1839985;undefined;RAKOVICA;SAJLA;8300.00
1839978;undefined;ZVEZDARA;LOKALNO;4600.00
1840029;undefined;RAKOVICA;LOKALNO;4600.00
1840025;undefined;ZEMUN;LOKALNO;4600.00
1840018;undefined;RAKOVICA;ZAMENA;60798.80
1840023;undefined;ZEMUN;ZAMENA;20300.00
1840014;undefined;NOVI BEOGRAD;WOMA;29500.00
1840008;undefined;VRAČAR;ZAMENA;49383.00
1840009;undefined;VRAČAR;WOMA;30500.00
1840032;undefined;ZEMUN;SAJLA;9220.00
1840011;undefined;VRAČAR;LOKALNO;4600.00
1840024;undefined;VRAČAR;SAJLA;9220.00
1840026;undefined;PALILULA;WOMA;17500.00
1840020;undefined;ČUKARICA;ZAMENA;3965.00
1840027;undefined;SAVSKI VENAC;LOKALNO;4600.00
1840041;undefined;ZEMUN;ZAMENA;12500.00
1840042;undefined;ZEMUN;LOKALNO;4600.00
1840048;undefined;ČUKARICA;ZAMENA;18002.80
1840045;undefined;ČUKARICA;WOMA;25500.00
1840044;undefined;RAKOVICA;SAJLA;9220.00
1840056;undefined;ČUKARICA;ZAMENA;0
1840053;undefined;ZEMUN;SAJLA;9220.00
1840059;undefined;ZEMUN;ZAMENA;0
1840062;undefined;ZEMUN;ZAMENA;12064.8
1840063;undefined;NOVI BEOGRAD;ZAMENA;0
1840064;undefined;RAKOVICA;WOMA;34100.00
1840065;undefined;ČUKARICA;SAJLA;11520.00
1840047;undefined;PALILULA;ZAMENA;97278.2
1840069;undefined;PALILULA;SAJLA;9220.00
1840067;undefined;PALILULA;ZAMENA;0
1840061;undefined;PALILULA;SAJLA;9220.00
1840054;undefined;PALILULA;ZAMENA;0
1840046;undefined;VOŽDOVAC;LOKALNO;4600
1840040;undefined;VOŽDOVAC;LOKALNO;4600.00
1840136;undefined;RAKOVICA;ZAMENA;8648.60
1840097;undefined;SAVSKI VENAC;KOPANJE;20028.60
1840137;undefined;VRAČAR;ZAMENA;0
1840095;undefined;STARI GRAD;LOKALNO;4600.00
1840129;undefined;ZVEZDARA;SAJLA;9220.00
1840060;undefined;ZVEZDARA;SAJLA;16220.00
1840074;undefined;ZVEZDARA;WOMA;29500.00
1840015;undefined;ZVEZDARA;WOMA;51232.8
1840140;undefined;NOVI BEOGRAD;ZAMENA;6021.00
1840133;undefined;VOŽDOVAC;WOMA;25500.00
1840171;undefined;NOVI BEOGRAD;ZAMENA;0
1840163;undefined;RAKOVICA;SAJLA;16220.00
1840169;undefined;RAKOVICA;LOKALNO;4600.00
1840155;undefined;ČUKARICA;ZAMENA;11300.00
1840066;undefined;SAVSKI VENAC;SAJLA;9220.00
1840174;undefined;NOVI BEOGRAD;ZAMENA;81092.20
1840180;undefined;NOVI BEOGRAD;WOMA;5000.00
1840159;undefined;STARI GRAD;KOPANJE;37554.00
1840157;undefined;STARI GRAD;LOKALNO;4600.00
1840182;undefined;VRAČAR;ZAMENA;12300.00
1840176;undefined;VRAČAR;ZAMENA;4008.40
1840189;undefined;NOVI BEOGRAD;LOKALNO;4600.00
1840181;undefined;NOVI BEOGRAD;ZAMENA;16698.40
1840192;undefined;VRAČAR;LOKALNO;4600.00
1840179;undefined;ZEMUN;ZAMENA;24342.80
1840164;undefined;ZVEZDARA;ZAMENA;31868.80
1840183;undefined;ČUKARICA;LOKALNO;4600.00
1832457;undefined;SAVSKI VENAC;ZAMENA;107515.20
1840161;undefined;VOŽDOVAC;LOKALNO;4600
1840178;undefined;VOŽDOVAC;ZAMENA;21709.2
1840204;undefined;PALILULA;WOMA;25500.00
1840211;undefined;NOVI BEOGRAD;ZAMENA;47300.00
1840208;undefined;NOVI BEOGRAD;ZAMENA;28730.80
1840210;undefined;ZEMUN;WOMA;43500.00
1840215;undefined;ZEMUN;ZAMENA;0
1840212;undefined;ZVEZDARA;LOKALNO;4600.00
1840222;undefined;NOVI BEOGRAD;SAJLA;9220.00
1840216;undefined;NOVI BEOGRAD;ZAMENA;25203.00
1840214;undefined;ZVEZDARA;SAJLA;9220.00
