Broj naloga;Radna Jedinica;Datum Naloga; Datum Prijemnice;Tip Naloga; Iznos; Max Iznos
1832187;ZVEZDARA;23.07.2025;01.08.2025;WOMA;124948.60;124948.6
1832229;NOVI BEOGRAD;23.07.2025;04.08.2025;LOKALNO;4600.00;4600
1832214;ČUKARICA;23.07.2025;07.08.2025;SAJLA;15300.00;15300
1832194;ČUKARICA;23.07.2025;04.08.2025;WOMA;27500.00;27500
1832208;RAKOVICA;23.07.2025;04.08.2025;ZAMENA;21963.80;21963.8
1832261;STARI GRAD;23.07.2025;06.08.2025;LOKALNO;4600.00;4600
1832282;VOŽDOVAC;23.07.2025;07.08.2025;ZAMENA;11300.00;11300
1832296;ČUKARICA;23.07.2025;05.08.2025;ZAMENA;19227.80;19227.8
1832288;VRAČAR;23.07.2025;05.08.2025;ZAMENA;25757.60;25757.6
1832348;PALILULA;23.07.2025;08.08.2025;WOMA;33375;33375
1832360;PALILULA;23.07.2025;06.08.2025;ZAMENA;53372.00;53372
1832196;VRAČAR;23.07.2025;06.08.2025;SAJLA;9220.00;9220
1832197;PALILULA;23.07.2025;04.08.2025;WOMA;36300.00;36300
1832188;ZVEZDARA;23.07.2025;01.08.2025;ZAMENA;9264.00;9264
1832210;NOVI BEOGRAD;23.07.2025;04.08.2025;LOKALNO;4600.00;4600
1832219;ZVEZDARA;23.07.2025;05.08.2025;ZAMENA;62710.70;62710.7
1832195;ZVEZDARA;23.07.2025;01.08.2025;ZAMENA;5138.00;5138
1832262;STARI GRAD;23.07.2025;15.08.2025;ZAMENA;20388.40;20388.4
1832278;ZEMUN;23.07.2025;26.08.2025;KOPANJE;78871.80;78871.8
1832279;ZEMUN;23.07.2025;06.08.2025;LOKALNO;4600.00;4600
1832325;STARI GRAD;23.07.2025;15.08.2025;KOPANJE;117610.20;156658
1832361;PALILULA;23.07.2025;01.08.2025;ZAMENA;10526.40;10526.4
1832373;PALILULA;23.07.2025;05.08.2025;ZAMENA;5448.20;5448.2
1832390;STARI GRAD;23.07.2025;04.08.2025;WOMA;5000.00;5000
1832376;ZVEZDARA;23.07.2025;01.08.2025;ZAMENA;6814.00;6814
1832393;ZVEZDARA;23.07.2025;01.08.2025;WOMA;18300.00;18300
