Broj naloga;Radna Jedinica;Adresa;Datum Naloga; Datum Prijemnice; Iznos naloga; Iznos Kopanja
1832278;ZEMUN;Alaska 20 ;23.07.2025;26.08.2025;78871.80;1150
1832325;STARI GRAD;Cara Dušana 11 A;23.07.2025;15.08.2025;117610.20;11040
1832634;STARI GRAD;Braće Jugovića 23 ;24.07.2025;04.08.2025;64653.20;1840
1832991;PALILULA;Drenovačka 11 ;26.07.2025;06.08.2025;85356.00;4140
1833022;PALILULA;Stevana Dukića 45 ;26.07.2025;04.08.2025;17342.60;345
1833383;STARI GRAD;Svetogorska 43 ;28.07.2025;28.08.2025;66925.50;1437.5
1833459;VRAČAR;Svetozara Markovića 10 /2;28.07.2025;08.08.2025;39235.20;1656
1833354;ZEMUN;Sestara Milovanović 8 ;28.07.2025;26.08.2025;172711.20;8280
1833803;PALILULA;Mirijevski Bulevar 2 ;28.07.2025;07.08.2025;101924.80;30000
1833833;ZVEZDARA;Vojvode Brane 17 ;29.07.2025;01.08.2025;60750.00;1150
1833844;STARI GRAD;Vlajkovićeva 19 ;29.07.2025;28.08.2025;37850.70;805
1834059;ČUKARICA;Petra Martinovića 10 ;29.07.2025;08.08.2025;62395.40;31200
1834050;PALILULA;Ruzveltova 23 A;29.07.2025;15.08.2025;47746.40;368
1834083;ZVEZDARA;Mis Irbijeve 49 /2;29.07.2025;21.08.2025;176757.00;2645
1834080;VRAČAR;Save Tekelije 6 ;30.07.2025;04.08.2025;95349.50;2587.5
1833809;VRAČAR;Braničevska 11 ;30.07.2025;01.08.2025;14247.20;575
1834090;ZVEZDARA;Meše Selimovića 9 ;30.07.2025;04.08.2025;120367.20;43200
1834087;RAKOVICA;Susedgradska 9 ;30.07.2025;25.08.2025;59694.40;2760
1834100;ČUKARICA;Milana Jovanovića 16 ;30.07.2025;25.08.2025;113483.00;46800
1834244;RAKOVICA;Marička 28 ;30.07.2025;15.08.2025;20562.70;6000
1834094;PALILULA;Patrisa Lumumbe 63 ;31.07.2025;19.08.2025;26350.20;1265
1834317;STARI GRAD;Obilićev Venac 27 ;31.07.2025;28.08.2025;64268.20;632.5
1834496;ZEMUN;Sestara Milovanović 6 ;31.07.2025;26.08.2025;150511.20;8280
1834784;ZEMUN;Kralja Uroša Prvog 12 ;03.08.2025;25.08.2025;45444.40;19800
1834874;RAKOVICA;Marička 26 ;04.08.2025;14.08.2025;37775.20;19200
1834936;PALILULA;Nikodima Milaša 10 ;04.08.2025;19.08.2025;123113.65;115
1835159;STARI GRAD;Majke Jevrosime 39 ;05.08.2025;15.08.2025;24396.60;230
1835252;ČUKARICA;Ace Joksimovića 143 ;05.08.2025;11.08.2025;18036.512;869.4
1835333;RAKOVICA;Serdar Jan.Vukotića 7 ;06.08.2025;14.08.2025;98036.90;35100
1835405;VRAČAR;Prote Mateje 31 ;06.08.2025;15.08.2025;39773.00;3220
1835826;ZEMUN;Klare Cetkin 1 B;08.08.2025;25.08.2025;52036.60;2070
1835964;VRAČAR;Makenzijeva 18 ;08.08.2025;22.08.2025;99546.80;3220
1835999;ZVEZDARA;Ravanička 22 ;10.08.2025;18.08.2025;6465.66;494.5
1836154;SAVSKI VENAC;Krupanjska 26 ;11.08.2025;18.08.2025;107956.80;5980
1836405;STARI GRAD;Milana Kašanina 8 ;12.08.2025;14.08.2025;19736.40;575
1836917;ZEMUN;Đure Gajića 22 ;15.08.2025;26.08.2025;94900.00;48000
1836970;STARI GRAD;Čubrina 4 ;15.08.2025;28.08.2025;28532.60;575
1837391;STARI GRAD;Mike Alasa 50 ;18.08.2025;27.08.2025;22415.10;3220
1837623;PALILULA;Porečka 6 ;19.08.2025;27.08.2025;62986.60;2300
1838550;ZVEZDARA;Koste Nađa 7 ;25.08.2025;26.08.2025;33630.00;16800
