Broj naloga;Radna Jedinica;Adresa;Datum Naloga; Datum Prijemnice; Iznos naloga; Iznos Kopanja
1832278;ZEMUN;Alaska 20 ;23.07.2025;26.08.2025;78871.80;5462
1832325;STARI GRAD;Cara Dušana 11 A;23.07.2025;15.08.2025;117610.20;52435.2
1832634;STARI GRAD;Braće Jugovića 23 ;24.07.2025;04.08.2025;64653.20;8739.2
1832991;PALILULA;Drenovačka 11 ;26.07.2025;06.08.2025;85356.00;19663.2
1833022;PALILULA;Stevana Dukića 45 ;26.07.2025;04.08.2025;17342.60;1638.6
1833383;STARI GRAD;Svetogorska 43 ;28.07.2025;28.08.2025;66925.50;6827.5
1833459;VRAČAR;Svetozara Markovića 10 /2;28.07.2025;08.08.2025;39235.20;11592
1833354;ZEMUN;Sestara Milovanović 8 ;28.07.2025;26.08.2025;172711.20;57960
1833833;ZVEZDARA;Vojvode Brane 17 ;29.07.2025;01.08.2025;60750.00;5462
1833844;STARI GRAD;Vlajkovićeva 19 ;29.07.2025;28.08.2025;37850.70;3823.3999999999996
1834050;PALILULA;Ruzveltova 23 A;29.07.2025;15.08.2025;47746.40;2576
1834083;ZVEZDARA;Mis Irbijeve 49 /2;29.07.2025;21.08.2025;176757.00;18515
1834080;VRAČAR;Save Tekelije 6 ;30.07.2025;04.08.2025;95349.50;18112.5
1833809;VRAČAR;Braničevska 11 ;30.07.2025;01.08.2025;14247.20;2731
1834087;RAKOVICA;Susedgradska 9 ;30.07.2025;25.08.2025;59694.40;11040
1834094;PALILULA;Patrisa Lumumbe 63 ;31.07.2025;19.08.2025;26350.20;6008.200000000001
1834317;STARI GRAD;Obilićev Venac 27 ;31.07.2025;28.08.2025;64268.20;2530
1834496;ZEMUN;Sestara Milovanović 6 ;31.07.2025;26.08.2025;150511.20;57960
1834394;ZVEZDARA;Koste Nađa 11 ;01.08.2025;06.08.2025;43629.10;4743.200000000001
1834936;PALILULA;Nikodima Milaša 10 ;04.08.2025;19.08.2025;123113.65;805
1835159;STARI GRAD;Majke Jevrosime 39 ;05.08.2025;15.08.2025;24396.60;1092.4
1835252;ČUKARICA;Ace Joksimovića 143 ;05.08.2025;11.08.2025;18036.512;4129.272
1835405;VRAČAR;Prote Mateje 31 ;06.08.2025;15.08.2025;39773.00;15293.599999999999
1835826;ZEMUN;Klare Cetkin 1 B;08.08.2025;25.08.2025;52036.60;9831.6
1835964;VRAČAR;Makenzijeva 18 ;08.08.2025;22.08.2025;99546.80;22540
1835999;ZVEZDARA;Ravanička 22 ;10.08.2025;18.08.2025;6465.66;2348.66
1836154;SAVSKI VENAC;Krupanjska 26 ;11.08.2025;18.08.2025;107956.80;41860
1836405;STARI GRAD;Milana Kašanina 8 ;12.08.2025;14.08.2025;19736.40;2731
1836970;STARI GRAD;Čubrina 4 ;15.08.2025;28.08.2025;28532.60;2731
1837391;STARI GRAD;Mike Alasa 50 ;18.08.2025;27.08.2025;22415.10;15293.599999999999
1837623;PALILULA;Porečka 6 ;19.08.2025;27.08.2025;62986.60;10924
