Broj naloga;Radna Jedinica;Adresa;Datum Naloga; Datum Prijemnice; Iznos naloga; Iznos Wome
1832187;ZVEZDARA;Vojislava Ilića 121 ;23.07.2025;01.08.2025;124948.60;25500
1832194;ČUKARICA;Oslobođenja  1 Deo 8 ;23.07.2025;04.08.2025;27500.00;17500
1832348;PALILULA;Drinske Divizije 90 ;23.07.2025;08.08.2025;33375;30500
1832197;PALILULA;Dunavske Divizije 26 ;23.07.2025;04.08.2025;36300.00;25500
1832390;STARI GRAD;Dunavski Kej 12 ;23.07.2025;04.08.2025;5000.00;5000
1832393;ZVEZDARA;Luke Vukalovića 3 ;23.07.2025;01.08.2025;18300.00;5000
1832634;STARI GRAD;Braće Jugovića 23 ;24.07.2025;04.08.2025;64653.20;25500
1832652;VOŽDOVAC;Ustanička 65 ;24.07.2025;04.08.2025;70983.60;25500
1832609;ČUKARICA;Lazarevački Drum 6 D;24.07.2025;08.08.2025;5000.00;5000
1832755;ZVEZDARA;Borivoja Stevanovića 30 ;25.07.2025;01.08.2025;10850.00;5000
1832910;PALILULA;Slobodana Jovanovića 7 ;25.07.2025;01.08.2025;82039.20;25500
1833125;RAKOVICA;Tuzlanska 22 ;26.07.2025;07.08.2025;30900.00;25500
1833059;PALILULA;Pabla Nerude 8 ;26.07.2025;05.08.2025;33500.00;33500
1833102;PALILULA;Niška 6 ;26.07.2025;05.08.2025;17500.00;17500
1833275;STARI GRAD;Cara Dušana 67 ;27.07.2025;04.08.2025;26400.00;17500
1833386;NOVI BEOGRAD;Narodnih Heroja 38 ;28.07.2025;01.08.2025;30100.00;25500
1833419;ZEMUN;Sestara Milovanović 10 ;28.07.2025;06.08.2025;25500.00;25500
1833098;RAKOVICA;Tuzlanska 26 ;28.07.2025;07.08.2025;5000.00;5000
1833704;RAKOVICA;Kosmajskog Odreda 10 ;28.07.2025;04.08.2025;37500.00;33500
1833354;ZEMUN;Sestara Milovanović 8 ;28.07.2025;26.08.2025;172711.20;25500
1833831;RAKOVICA;Majora Omera Mehića 9 ;29.07.2025;07.08.2025;22100.00;17500
1833907;PALILULA;Glinskih Žrtava 1941. 13 ;29.07.2025;04.08.2025;36800.00;25500
1833833;ZVEZDARA;Vojvode Brane 17 ;29.07.2025;01.08.2025;60750.00;17500
1833827;VOŽDOVAC;Meštrovićeva 23 ;29.07.2025;28.08.2025;38100.00;33500
1833952;VRAČAR;Šumatovačka 5 ;29.07.2025;05.08.2025;5000.00;5000
1833849;PALILULA;Drinske Divizije 88 ;29.07.2025;08.08.2025;109141.86;25500
1834050;PALILULA;Ruzveltova 23 A;29.07.2025;15.08.2025;47746.40;30500
1834078;ZVEZDARA;Mirijevski Venac 8 ;29.07.2025;15.08.2025;31800.00;25500
1834072;VOŽDOVAC;Paunova 43 ;30.07.2025;05.08.2025;32100.00;17500
1834124;VOŽDOVAC;Kumodraška 334 ;30.07.2025;05.08.2025;30100.00;25500
1834315;PALILULA;Koste Manojlovića 63 ;30.07.2025;01.08.2025;33500.00;33500
1834323;ČUKARICA;Partizanske Vode 4 ;30.07.2025;04.08.2025;33500.00;33500
1834354;PALILULA;Cvijićeva 28 ;31.07.2025;11.08.2025;5000.00;5000
1834404;ČUKARICA;Marine Veličković 14 ;31.07.2025;04.08.2025;25500.00;25500
1834509;ZVEZDARA;Mirijevski Venac 45 ;31.07.2025;01.08.2025;26720.00;17500
1834460;NOVI BEOGRAD;Pariske Komune 10 ;31.07.2025;04.08.2025;5000.00;5000
1834496;ZEMUN;Sestara Milovanović 6 ;31.07.2025;26.08.2025;150511.20;25500
1834541;SAVSKI VENAC;Borivoja Drobnjakovića 2 ;01.08.2025;05.08.2025;17500.00;17500
1834574;PALILULA;Cvijićeva 22 ;01.08.2025;08.08.2025;5000.00;5000
1834580;VOŽDOVAC;Borivoja Stevanovića 41 ;01.08.2025;04.08.2025;25500.00;25500
1834623;ČUKARICA;Omorika 10 ;01.08.2025;04.08.2025;25500.00;25500
1834642;ČUKARICA;Radnička 37 A;01.08.2025;22.08.2025;73832.60;25500
1834655;VOŽDOVAC;Radovana Simića-Cige 34 ;01.08.2025;15.08.2025;65680.60;17500
1834699;ZVEZDARA;Matice Srpske 62 ;01.08.2025;05.08.2025;43472.80;17500
1834728;ČUKARICA;Lazarevački Drum 6 D;01.08.2025;08.08.2025;40500.00;30500
