Naziv;Kolicina;Cena stavke
PVC cev fi 200/2000;3;2691.53
PVC cev fi 200/1000;3;1403.43
PVC luk fi 200/90;2;1576.49
PVC luk fi 200/45;0;1576.49
Keramički prelaz fi 200;0;5940
PVC klizna spojka fi 200 ;0;848.88
Kudelja - 100 gr;1;145
Rezna ploča 125 mm;3;123.2
Kalijev sapun (kutija od 0,75 kg);1;342
LG prelaz fi 110;1;1485
PVC cev fi 110/500;4;225.99
PVC cev fi 110/250;1;133.87
PVC klizna spojka fi 110;1;281.89
Prelazna guma fi 110;2;113
Pocinkovana cev fi 5/4;3;907
Pocinkovani T-komad fi 5/4;1;252
Pocinkovana redukcija 5/4-1/2;1;129.9
Pocinkovani dupli nipl fi 5/4;1;120.2
Klizna spojnica fi 5/4;1;1588
Pocinkovana cev fi 1/2;1;200
Pocinkovani dupli nipl fi 1/2;0;44.6
Pocinkovano koleno fi 1/2;0;52.4
Kugla ventil fi 2;1;2715
Kugla ventil fi 6/4;2;2212.3
Kugla ventil fi 5/4;7;1488.8
Kugla ventil fi 1;3;918.8
Klizna spojnica fi 2;1;3716
Klizna spojnica fi 6/4;1;2650
Klizna spojnica fi 5/4;3;1588
Klizna spojnica fi 1;2;964
Pocinkovani holender fi 6/4;1;536.9
Pocinkovani holender fi 5/4;4;405.1
Pocinkovani holender fi 1;1;261.7
Pocinkovani dupli nipl fi 2;2;270.9
Pocinkovani dupli nipl fi 6/4;4;184.2
Pocinkovani dupli nipl fi 5/4;14;120.2
Pocinkovani dupli nipl fi 1;6;83.4
Pocinkovano koleno fi 2;1;416.8
Pocinkovano koleno fi 6/4;2;298.5
Pocinkovano koleno fi 5/4;7;193.8
Pocinkovano koleno fi 1;3;129.9
Pocinkovani muf fi 2;1;295.9
Pocinkovani muf fi 6/4;1;178.3
Pocinkovani muf fi 5/4;4;145.4
Pocinkovani muf fi 1;2;102.8
Pocinkovana cev fi 2;2;1200
Pocinkovana cev fi 6/4;2;1094
Pocinkovana cev fi 5/4;4;907
Pocinkovana cev fi 1;4;619
Rezna ploča 125 mm;3;123.2
Kudelja - 100 gr;3;145
Kugla ventil fi 2 1/2;1;6132
Kugla ventil fi 6/4;1;2212.3
Klizna spojnica fi 2 1/2;1;4402
Klizna spojnica fi 6/4;1;2650
Pocinkovani dupli nipl fi 2 1/2;2;452.2
Pocinkovani dupli nipl fi 6/4;2;184.2
Pocinkovana cev fi 2 1/2;1;1335
Pocinkovani dupli nipl fi 5/4;1;120.2
Klizna spojnica fi 5/4;1;1588
Pocinkovana cev fi 5/4;2;907
Pocinkovani T-komad fi 3/4;1;96.9
Pocinkovana redukcija 3/4-1/2 ;2;50.4
Klizna spojnica fi 3/4;2;634
Pocinkovani dupli nipl fi 3/4;2;58.6
Kugla ventil fi 5/4;2;1488.8
Pocinkovani holender fi 5/4;0;405.1
Pocinkovani dupli nipl fi 5/4;2;120.2
Pocinkovana cev fi 5/4;2;907
Rezna ploča 125 mm;4;123.2
Kudelja - 100 gr;1;145
Klizna spojnica fi 5/4;2;1588
PVC cev fi 110/500;0;225.99
PVC cev fi 110/250;3;133.87
PVC kosa  račva-T fi 110/110;0;349.21
PVC račva-T fi 110/110;1;349.21
PVC klizna spojka fi 110;1;281.89
Prelazna guma fi 110;1;113
LG prelaz fi 110;0;1485
HL prelaz fi 110;1;3979
PVC luk fi 110/45;1;191.81
Sikafleks;2;961.54
PVC cev fi 110/1000;3;395.28
HL prelaz fi 110;1;3979
PVC klizna spojka fi 110;2;281.89
Prelazna guma fi 110;1;113
PVC luk fi 110/45;2;191.81
PVC luk fi 110/90;1;191.81
Pocinkovani dupli nipl fi 5/4;2;120.2
Pocinkovani dupli nipl fi 6/4;2;184.2
Klizna spojnica fi 5/4;1;1588
Klizna spojnica fi 6/4;1;2650
Pocinkovani muf fi 5/4;1;145.4
Pocinkovani muf fi 6/4;1;178.3
Pocinkovana cev fi 5/4;1;907
